lead_id,source,status,value,created_date,last_contact
LEAD00000,Email,Closed Won,43900.0,2025-07-03,2025-07-23
LEAD00001,Referral,New,8500.0,2025-07-08,2025-07-22
LEAD00002,Social,Negotiation,4800.0,2025-07-05,2025-07-21
LEAD00003,Email,Negotiation,7700.0,2025-07-22,2025-07-26
LEAD00004,Social,Closed Lost,1900.0,2025-06-30,2025-07-27
LEAD00005,Email,New,4100.0,2025-06-25,2025-06-28
LEAD00006,Web,Closed Won,5000.0,2025-06-08,2025-06-08
LEAD00007,Event,Closed Lost,1000.0,2025-07-29,2025-08-26
LEAD00008,Event,Qualified,2500.0,2025-07-05,2025-07-16
LEAD00009,Social,Closed Lost,8900.0,2025-07-01,2025-07-29
LEAD00010,Social,New,2800.0,2025-06-30,2025-07-13
LEAD00011,Web,Negotiation,5100.0,2025-06-19,2025-07-08
LEAD00012,Event,Closed Won,3000.0,2025-07-24,2025-08-09
LEAD00013,Social,New,6600.0,2025-08-23,2025-09-12
LEAD00014,Email,New,6800.0,2025-08-01,2025-08-26
LEAD00015,Web,Negotiation,2300.0,2025-06-11,2025-06-26
LEAD00016,Referral,Negotiation,10100.0,2025-07-10,2025-08-08
LEAD00017,Referral,Contacted,6700.0,2025-08-13,2025-08-14
LEAD00018,Social,Negotiation,12400.0,2025-06-10,2025-06-21
LEAD00019,Social,Contacted,18300.0,2025-07-29,2025-08-03
LEAD00020,Event,New,1900.0,2025-08-17,2025-08-23
LEAD00021,Email,Contacted,3700.0,2025-06-08,2025-06-19
LEAD00022,Social,Qualified,8000.0,2025-08-17,2025-08-30
LEAD00023,Referral,Closed Won,8000.0,2025-08-04,2025-08-30
LEAD00024,Referral,Closed Lost,8200.0,2025-07-22,2025-07-26
LEAD00025,Social,Closed Won,3200.0,2025-07-30,2025-08-05
LEAD00026,Event,Closed Won,1600.0,2025-06-27,2025-07-09
LEAD00027,Email,Contacted,6200.0,2025-07-16,2025-08-08
LEAD00028,Email,New,2000.0,2025-08-10,2025-09-07
LEAD00029,Email,Closed Won,4800.0,2025-08-25,2025-09-23
LEAD00030,Social,Qualified,11100.0,2025-06-15,2025-07-11
LEAD00031,Referral,Qualified,5300.0,2025-08-10,2025-08-14
LEAD00032,Web,Qualified,6900.0,2025-07-06,2025-07-13
LEAD00033,Email,Negotiation,3800.0,2025-06-03,2025-06-16
LEAD00034,Email,Negotiation,8900.0,2025-08-16,2025-08-24
LEAD00035,Email,Closed Won,19400.0,2025-06-27,2025-07-14
LEAD00036,Social,Qualified,3300.0,2025-08-03,2025-08-23
LEAD00037,Event,Contacted,2300.0,2025-08-12,2025-08-31
LEAD00038,Event,New,15600.0,2025-06-06,2025-07-04
LEAD00039,Social,Qualified,2800.0,2025-06-15,2025-07-05
LEAD00040,Social,Negotiation,3400.0,2025-08-19,2025-08-23
LEAD00041,Referral,Negotiation,15500.0,2025-07-17,2025-07-30
LEAD00042,Referral,Qualified,3400.0,2025-07-08,2025-07-16
LEAD00043,Social,Negotiation,1900.0,2025-08-08,2025-08-22
LEAD00044,Event,Contacted,7400.0,2025-08-17,2025-09-07
LEAD00045,Event,New,13400.0,2025-06-23,2025-07-02
LEAD00046,Email,Contacted,5000.0,2025-07-29,2025-08-23
LEAD00047,Social,Closed Won,3200.0,2025-08-17,2025-08-31
LEAD00048,Web,Qualified,2700.0,2025-08-06,2025-08-28
LEAD00049,Web,Contacted,3900.0,2025-07-21,2025-08-19
LEAD00050,Referral,Contacted,2700.0,2025-07-18,2025-07-26
LEAD00051,Email,New,3100.0,2025-07-19,2025-08-10
LEAD00052,Email,Negotiation,2800.0,2025-07-02,2025-07-27
LEAD00053,Web,Contacted,2300.0,2025-06-16,2025-07-11
LEAD00054,Referral,Qualified,2300.0,2025-07-26,2025-08-02
LEAD00055,Referral,New,10000.0,2025-06-20,2025-07-11
LEAD00056,Web,Closed Lost,2300.0,2025-06-19,2025-07-01
LEAD00057,Email,Closed Lost,1500.0,2025-08-06,2025-08-09
LEAD00058,Event,Closed Won,3200.0,2025-08-14,2025-08-28
LEAD00059,Email,Closed Lost,6400.0,2025-08-18,2025-09-01
LEAD00060,Social,Qualified,1700.0,2025-08-17,2025-08-20
LEAD00061,Email,Contacted,5300.0,2025-08-08,2025-08-19
LEAD00062,Social,Closed Lost,4900.0,2025-07-16,2025-07-27
LEAD00063,Social,Contacted,4400.0,2025-06-16,2025-07-01
LEAD00064,Web,Closed Lost,10000.0,2025-07-01,2025-07-22
LEAD00065,Social,Negotiation,10100.0,2025-06-14,2025-06-25
LEAD00066,Web,Negotiation,2600.0,2025-08-02,2025-08-03
LEAD00067,Web,New,1100.0,2025-06-24,2025-07-12
LEAD00068,Social,Negotiation,5400.0,2025-08-01,2025-08-17
LEAD00069,Web,Contacted,1100.0,2025-06-20,2025-07-12
LEAD00070,Referral,Closed Lost,12000.0,2025-06-21,2025-07-02
LEAD00071,Referral,Closed Lost,7000.0,2025-08-19,2025-08-23
LEAD00072,Referral,New,7300.0,2025-08-16,2025-09-08
LEAD00073,Web,Contacted,9300.0,2025-08-25,2025-09-19
LEAD00074,Email,New,2400.0,2025-07-18,2025-07-18
LEAD00075,Email,Closed Lost,10000.0,2025-07-06,2025-07-19
LEAD00076,Email,Closed Won,1000.0,2025-06-03,2025-06-22
LEAD00077,Referral,Qualified,1900.0,2025-06-25,2025-07-07
LEAD00078,Web,Closed Lost,2600.0,2025-06-22,2025-07-04
LEAD00079,Event,Closed Lost,15900.0,2025-06-04,2025-06-24
