timestamp,amount,region,channel
2024-01-01T00:00:00,57.77,East,Retail
2024-01-01T00:04:00,173.7,South,Wholesale
2024-01-01T00:34:00,153.92,North,Wholesale
2024-01-01T00:47:00,84.34,West,Wholesale
2024-01-01T00:56:00,44.05,East,Retail
2024-01-01T01:01:00,46.96,West,Retail
2024-01-01T01:23:00,65.0,West,Retail
2024-01-01T01:32:00,76.78,West,Wholesale
2024-01-01T02:24:00,59.43,North,Retail
2024-01-01T02:32:00,273.48,East,Online
2024-01-01T02:36:00,60.45,East,Wholesale
2024-01-01T03:12:00,74.11,West,Wholesale
2024-01-01T03:13:00,52.15,East,Wholesale
2024-01-01T03:18:00,189.91,South,Wholesale
2024-01-01T03:37:00,44.81,West,Retail
2024-01-01T03:39:00,45.83,West,Wholesale
2024-01-01T03:54:00,68.4,East,Wholesale
2024-01-01T04:22:00,112.3,East,Online
2024-01-01T05:15:00,122.65,North,Wholesale
2024-01-01T05:23:00,132.34,North,Retail
2024-01-01T06:08:00,63.5,West,Online
2024-01-01T06:17:00,143.09,West,Online
2024-01-01T06:17:00,340.62,West,Online
2024-01-01T06:26:00,93.09,North,Wholesale
2024-01-01T06:48:00,106.52,West,Online
2024-01-01T06:59:00,398.36,West,Retail
2024-01-01T07:46:00,87.65,East,Retail
2024-01-01T08:27:00,129.91,East,Online
2024-01-01T08:34:00,214.74,East,Wholesale
2024-01-01T08:35:00,103.93,North,Online
2024-01-01T08:36:00,71.62,North,Wholesale
2024-01-01T09:27:00,97.59,West,Wholesale
2024-01-01T09:59:00,46.81,North,Wholesale
2024-01-01T10:07:00,58.93,North,Online
2024-01-01T10:47:00,58.38,West,Online
2024-01-01T11:04:00,62.4,North,Wholesale
2024-01-01T11:24:00,127.28,North,Wholesale
2024-01-01T11:25:00,68.39,West,Retail
2024-01-01T12:40:00,59.83,East,Wholesale
2024-01-01T12:40:00,59.9,North,Wholesale
2024-01-01T12:50:00,94.15,South,Wholesale
2024-01-01T14:50:00,403.76,West,Wholesale
2024-01-01T15:19:00,156.32,West,Wholesale
2024-01-01T15:44:00,199.28,South,Wholesale
2024-01-01T16:36:00,71.31,North,Online
2024-01-01T17:01:00,136.88,South,Wholesale
2024-01-01T17:22:00,148.72,East,Retail
2024-01-01T17:25:00,88.24,West,Retail
2024-01-01T17:39:00,92.72,West,Retail
2024-01-01T17:57:00,53.04,North,Retail
2024-01-01T18:22:00,220.99,East,Wholesale
2024-01-01T19:11:00,104.51,South,Wholesale
2024-01-01T19:27:00,126.86,East,Wholesale
2024-01-01T19:31:00,147.33,East,Online
2024-01-01T19:59:00,535.65,North,Retail
2024-01-01T20:05:00,233.02,West,Retail
2024-01-01T20:32:00,109.47,West,Retail
2024-01-01T21:27:00,189.28,South,Retail
2024-01-01T21:41:00,46.8,West,Retail
2024-01-01T21:55:00,285.4,North,Wholesale
2024-01-01T22:21:00,361.88,South,Retail
2024-01-01T22:27:00,252.85,North,Wholesale
2024-01-01T22:59:00,78.63,North,Retail
2024-01-01T23:10:00,153.34,East,Online
2024-01-01T23:14:00,65.73,East,Retail
2024-01-01T23:36:00,236.04,East,Retail
2024-01-01T23:40:00,49.9,West,Online
2024-01-02T00:32:00,221.84,North,Wholesale
2024-01-02T00:46:00,59.86,South,Retail
2024-01-02T00:51:00,98.63,East,Online
2024-01-02T01:04:00,76.56,North,Online
2024-01-02T01:26:00,88.94,South,Retail
2024-01-02T01:50:00,62.58,North,Wholesale
2024-01-02T03:24:00,83.13,North,Online
2024-01-02T03:33:00,51.54,West,Wholesale
2024-01-02T03:34:00,54.46,West,Online
2024-01-02T04:22:00,347.88,South,Retail
2024-01-02T04:32:00,81.68,West,Online
2024-01-02T04:34:00,130.68,West,Online
2024-01-02T05:34:00,355.91,West,Online
2024-01-02T05:59:00,200.12,East,Wholesale
2024-01-02T06:02:00,101.95,North,Online
2024-01-02T06:04:00,104.4,South,Online
2024-01-02T06:28:00,104.43,South,Wholesale
2024-01-02T06:44:00,415.93,North,Retail
2024-01-02T06:45:00,100.53,North,Retail
2024-01-02T06:56:00,71.6,West,Online
2024-01-02T07:32:00,173.41,North,Wholesale
2024-01-02T07:44:00,359.81,North,Online
2024-01-02T07:45:00,270.73,West,Retail
2024-01-02T07:47:00,262.33,North,Online
2024-01-02T09:05:00,127.02,East,Retail
2024-01-02T09:30:00,315.95,South,Retail
2024-01-02T09:36:00,515.7,North,Wholesale
2024-01-02T09:57:00,60.66,West,Online
2024-01-02T10:10:00,65.43,South,Wholesale
2024-01-02T10:43:00,74.15,North,Online
2024-01-02T11:02:00,155.41,North,Online
2024-01-02T11:04:00,55.31,East,Retail
2024-01-02T11:08:00,162.94,East,Retail
2024-01-02T11:25:00,191.82,West,Wholesale
2024-01-02T11:27:00,82.79,South,Online
2024-01-02T12:03:00,338.69,West,Wholesale
2024-01-02T13:01:00,146.3,North,Wholesale
2024-01-02T13:23:00,511.06,South,Wholesale
2024-01-02T13:27:00,54.16,North,Wholesale
2024-01-02T13:30:00,183.57,South,Online
2024-01-02T13:51:00,194.12,North,Retail
2024-01-02T14:32:00,119.15,North,Online
2024-01-02T15:35:00,199.8,South,Online
2024-01-02T16:06:00,189.99,North,Online
2024-01-02T16:45:00,381.37,North,Wholesale
2024-01-02T16:48:00,88.57,South,Online
2024-01-02T17:24:00,58.51,West,Online
2024-01-02T18:16:00,106.83,West,Wholesale
2024-01-02T18:48:00,285.79,West,Online
2024-01-02T18:57:00,127.52,West,Online
2024-01-02T19:15:00,122.63,North,Retail
2024-01-02T19:18:00,58.7,South,Wholesale
2024-01-02T19:23:00,135.18,West,Retail
2024-01-02T19:29:00,151.45,East,Wholesale
2024-01-02T20:35:00,202.0,North,Wholesale
2024-01-02T20:38:00,112.49,West,Online
2024-01-02T20:49:00,259.94,North,Wholesale
2024-01-02T21:38:00,286.82,East,Retail
2024-01-02T21:57:00,78.8,South,Retail
2024-01-02T22:08:00,56.0,West,Online
